antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Deterministic Reranking_support,Deterministic Reranking_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence,support,confidence
"frozenset({'male', 'juv_fel=0', 'white', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.154,0.869,0.177,1.0,,,0.172,0.972,0.154,0.869,,,,
"frozenset({'male', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.154,0.866,0.177,0.997,,,0.172,0.97,0.154,0.866,,,,
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.156,0.864,0.18,1.0,0.159,0.883,0.18,1.0,0.156,0.864,,,,
"frozenset({'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.864,0.18,1.0,0.159,0.883,0.18,1.0,0.156,0.864,,,,
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.864,0.18,1.0,0.159,0.883,0.18,1.0,0.156,0.864,,,,
"frozenset({'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.156,0.864,0.18,1.0,0.159,0.883,0.18,1.0,0.156,0.864,,,,
"frozenset({'male', 'n_recidive', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.112,0.862,0.13,1.0,0.115,0.887,0.13,1.0,0.112,0.862,,,,
"frozenset({'male', 'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.112,0.862,0.13,1.0,0.115,0.887,0.13,1.0,0.112,0.862,,,,
"frozenset({'male', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.112,0.862,0.13,1.0,0.115,0.887,0.13,1.0,0.112,0.862,,,,
"frozenset({'male', 'juv_fel=0', 'priors_No', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.112,0.862,0.13,1.0,0.115,0.887,0.13,1.0,0.112,0.862,,,,
"frozenset({'male', 'n_recidive', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.155,0.861,0.18,1.0,,,0.173,0.961,0.155,0.861,,,,
"frozenset({'juv_fel=0', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.198,0.861,0.23,1.0,,,0.224,0.974,0.198,0.861,,,,
"frozenset({'male', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.155,0.859,0.18,0.997,,,0.173,0.958,0.155,0.859,,,,
"frozenset({'n_recidive', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.198,0.859,0.23,0.998,,,0.224,0.972,0.198,0.859,,,,
"frozenset({'juv_fel=0', 'priors_No', 'white'})",frozenset({'risk_low'}),0.122,0.856,0.143,1.0,,,0.143,1.0,0.122,0.856,,,,
"frozenset({'priors_No', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.122,0.856,0.143,1.0,,,0.143,1.0,0.122,0.856,,,,
"frozenset({'juv_fel=0', 'priors_No', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.122,0.856,0.143,1.0,,,0.143,1.0,0.122,0.856,,,,
"frozenset({'priors_No', 'white'})",frozenset({'risk_low'}),0.122,0.856,0.143,1.0,,,0.143,1.0,0.122,0.856,,,,
