antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Deterministic Reranking_support,Deterministic Reranking_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence,support,confidence
"frozenset({'male', 'juv_fel=0', 'white', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.154,0.869,0.177,1.0,,,0.171,0.966,0.154,0.869,,,,
"frozenset({'male', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.154,0.866,0.178,1.0,,,0.171,0.963,0.154,0.866,,,,
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.156,0.864,0.179,0.997,,,0.174,0.967,0.156,0.864,0.165,0.919,,
"frozenset({'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.864,0.179,0.997,,,0.174,0.967,0.156,0.864,0.165,0.919,,
"frozenset({'juv_fel=0', 'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.156,0.864,0.179,0.997,,,0.174,0.967,0.156,0.864,0.165,0.919,,
"frozenset({'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.156,0.864,0.179,0.997,,,0.174,0.967,0.156,0.864,0.165,0.919,,
"frozenset({'male', 'n_recidive', 'priors_No', 'juv_fel=0'})",frozenset({'risk_low'}),0.112,0.862,0.13,1.0,,,0.13,1.0,0.112,0.862,0.118,0.908,,
"frozenset({'male', 'n_recidive', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.112,0.862,0.13,1.0,,,0.13,1.0,0.112,0.862,0.118,0.908,,
"frozenset({'male', 'n_recidive', 'priors_No'})",frozenset({'risk_low'}),0.112,0.862,0.13,1.0,,,0.13,1.0,0.112,0.862,0.118,0.908,,
"frozenset({'male', 'juv_fel=0', 'priors_No', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.112,0.862,0.13,1.0,,,0.13,1.0,0.112,0.862,0.118,0.908,,
"frozenset({'male', 'n_recidive', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.155,0.861,0.18,1.0,,,0.172,0.955,0.155,0.861,,,,
"frozenset({'juv_fel=0', 'n_recidive', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.198,0.861,0.229,0.995,,,0.208,0.906,0.198,0.861,,,,
"frozenset({'male', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.155,0.859,0.18,1.0,,,0.172,0.952,0.155,0.859,,,,
"frozenset({'n_recidive', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.198,0.859,0.229,0.995,,,0.208,0.904,0.198,0.859,,,,
"frozenset({'juv_fel=0', 'priors_No', 'white'})",frozenset({'risk_low'}),0.122,0.856,0.139,0.973,,,0.126,0.882,0.122,0.856,0.119,0.833,,
"frozenset({'priors_No', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.122,0.856,0.139,0.973,,,0.126,0.882,0.122,0.856,0.119,0.833,,
"frozenset({'juv_fel=0', 'priors_No', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.122,0.856,0.139,0.973,,,0.126,0.882,0.122,0.856,0.119,0.833,,
"frozenset({'priors_No', 'white'})",frozenset({'risk_low'}),0.122,0.856,0.139,0.973,,,0.126,0.882,0.122,0.856,0.119,0.833,,
